2025-06-23 18:01:08.570 [main] INFO  c.o.JournalApp.JournalAppApplication - Starting JournalAppApplication using Java 17.0.11 on saura-9F7VT34 with PID 19400 (C:\Users\Saurabh\Downloads\SpringBoot_Project\JournalApp\JournalApp\target\classes started by Saurabh in C:\Users\Saurabh\Downloads\SpringBoot_Project\JournalApp)
2025-06-23 18:01:08.573 [main] DEBUG c.o.JournalApp.JournalAppApplication - Running with Spring Boot v2.7.12, Spring v5.3.27
2025-06-23 18:01:08.574 [main] INFO  c.o.JournalApp.JournalAppApplication - The following 1 profile is active: "dev"
2025-06-23 18:01:09.230 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2025-06-23 18:01:09.287 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 51 ms. Found 3 MongoDB repository interfaces.
2025-06-23 18:01:09.770 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-06-23 18:01:09.778 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-06-23 18:01:09.778 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-06-23 18:01:09.778 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.75]
2025-06-23 18:01:09.870 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-06-23 18:01:09.870 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1233 ms
2025-06-23 18:01:10.066 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.11+7-LTS-207", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='dhandesaurabh2002', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@3ba3d4b6]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.tkppbz1.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-xny1eb-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
2025-06-23 18:01:10.077 [cluster-ClusterId{value='6859490efc80ba7ada65499d', description='null'}-srv-cluster0.tkppbz1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-hxfrttw-shard-00-02.tkppbz1.mongodb.net:27017 to client view of cluster
2025-06-23 18:01:10.106 [cluster-ClusterId{value='6859490efc80ba7ada65499d', description='null'}-srv-cluster0.tkppbz1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-hxfrttw-shard-00-01.tkppbz1.mongodb.net:27017 to client view of cluster
2025-06-23 18:01:10.107 [cluster-ClusterId{value='6859490efc80ba7ada65499d', description='null'}-srv-cluster0.tkppbz1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-hxfrttw-shard-00-00.tkppbz1.mongodb.net:27017 to client view of cluster
2025-06-23 18:01:10.369 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@50085d9c from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-hxfrttw-shard-00-02.tkppbz1.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-hxfrttw-shard-00-01.tkppbz1.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-hxfrttw-shard-00-00.tkppbz1.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
2025-06-23 18:01:10.619 [cluster-ClusterId{value='6859490efc80ba7ada65499d', description='null'}-ac-hxfrttw-shard-00-02.tkppbz1.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:177932}] to ac-hxfrttw-shard-00-02.tkppbz1.mongodb.net:27017
